onset_time,pitch,velocity_xp,velocity,duration,voice_id,trigger_time
4.7399999999999975,83,741.0422256762419,93,0.0315,1,4.724545454545452
4.769999999999998,98,672.0458858197699,84,0.0315,101,4.7531378299120215
4.769999999999998,86,732.0458858197699,92,0.0315,1,4.754389051808404
4.799999999999998,100,665.022290384062,83,0.063,101,4.782981427174974
4.8000000000000025,62,679.7440560837092,85,0.042,100,4.783294232649074
4.799999999999998,88,725.022290384062,91,0.063,1,4.784232649071357
4.8000000000000025,50,739.7440560837092,92,0.042,0,4.784389051808409
4.8400000000000025,60,678.0551635390759,85,0.042,100,4.823294232649074
4.8400000000000025,48,738.0551635390759,92,0.042,0,4.824389051808409
4.859999999999998,98,606.7872323712501,76,0.0315,101,4.8418866080156375
4.859999999999998,86,666.7872323712501,83,0.0315,1,4.842981427174974
4.880000000000003,57,672.6773171498729,84,0.042,100,4.863137829912026
4.880000000000003,45,732.6773171498729,92,0.042,0,4.864389051808409
4.889999999999998,105,565.1700186293062,71,0.096,101,4.871104594330399
4.889999999999998,93,625.1700186293062,78,0.096,1,4.872199413489734
4.920000000000003,59,607.3769119103789,76,0.042,100,4.9018866080156425
4.920000000000003,47,667.3769119103789,83,0.042,0,4.9029814271749785
4.960000000000003,57,569.6295951710484,71,0.128,100,4.941104594330404
4.960000000000003,45,629.6295951710484,79,0.128,0,4.942355816226787
5.069999999999998,91,626.6694250427901,78,0.0315,101,5.052199413489734
5.069999999999998,79,686.6694250427901,86,0.0315,1,5.053450635386117
5.099999999999998,84,626.928254125151,78,0.063,101,5.082199413489734
5.099999999999998,72,686.928254125151,86,0.063,1,5.083450635386117
5.1599999999999975,86,665.8538293587715,83,0.0315,101,5.142981427174973
5.1599999999999975,74,725.8538293587715,91,0.0315,1,5.144232649071356
5.189999999999998,84,664.2130057317787,83,0.0315,101,5.172981427174974
5.189999999999998,72,724.2130057317787,91,0.0315,1,5.174232649071357
5.200000000000003,67,591.6856407778838,74,0.042,100,5.181573802541547
5.200000000000003,55,651.6856407778838,81,0.042,0,5.182668621700882
5.219999999999998,81,657.9825886329103,82,0.0315,101,5.202825024437925
5.219999999999998,69,717.9825886329103,90,0.0315,1,5.204076246334309
5.240000000000003,57,608.65660715318,76,0.042,100,5.221886608015643
5.240000000000003,45,668.65660715318,84,0.042,0,5.223137829912027
5.249999999999998,83,595.9855899281291,74,0.0315,101,5.231573802541543
5.249999999999998,71,655.9855899281291,82,0.0315,1,5.2328250244379255
5.2799999999999985,81,563.3823231424203,70,0.096,101,5.260948191593351
5.2799999999999985,69,623.3823231424203,78,0.096,1,5.262199413489735
5.280000000000003,67,666.9881005773743,83,0.042,100,5.262981427174979
5.280000000000003,55,726.9881005773743,91,0.042,0,5.264232649071362
5.320000000000003,71,661.9660682415098,83,0.042,100,5.302981427174979
5.320000000000003,59,721.9660682415098,90,0.042,0,5.304076246334314
5.360000000000003,72,669.43460101312,84,0.084,100,5.343137829912027
5.360000000000003,60,729.43460101312,91,0.084,0,5.344232649071362
5.440000000000003,71,586.4658228731367,73,0.042,100,5.4214173998045
5.440000000000003,59,646.4658228731367,81,0.042,0,5.422668621700883
5.459999999999998,91,606.8469344294832,76,0.0315,101,5.441886608015638
